Date,Type,Loss,LNum,Win,WNum,Amount,Volume,Avg,CumLoss,CumWin,Psh,PnL,CumPnL,TradeVol,Opening,LPsh,WPsh
2023-03-31,Y,-240.0,3.0,4200.0,13.0,3350340.0,41.0,8171.56,-240.0,4200.0,,3960.0,3960.0,41.0,25.0,-8.0,32.0
2023-04-03,Y,-3160.0,19.0,12560.0,27.0,12280580.0,149.0,8268.74,-3400.0,16760.0,,9400.0,13360.0,108.0,62.0,-17.0,47.0
2023-04-04,Y,-17500.0,67.0,460.0,7.0,23475300.0,283.0,8354.27,-20900.0,17220.0,,-17040.0,-3680.0,134.0,60.0,-26.0,7.0
2023-04-06,Y,-13040.0,28.0,1100.0,5.0,29920880.0,360.0,8370.88,-33940.0,18320.0,,-11940.0,-15620.0,77.0,44.0,-47.0,22.0
2023-04-07,Y,-9980.0,27.0,25440.0,32.0,39284940.0,473.0,8286.78,-43920.0,43760.0,,15460.0,-160.0,113.0,54.0,-37.0,79.0
2023-04-10,Y,-23300.0,52.0,240.0,1.0,48624040.0,587.0,8192.19,-67220.0,44000.0,,-23060.0,-23220.0,114.0,61.0,-45.0,24.0
2023-04-11,Y,-4420.0,19.0,13680.0,29.0,54779740.0,662.0,8207.6,-71640.0,57680.0,,9260.0,-13960.0,75.0,27.0,-23.0,47.0
2023-04-12,Y,-80.0,2.0,21680.0,31.0,60549120.0,732.0,8241.97,-71720.0,79360.0,,21600.0,7640.0,70.0,37.0,-4.0,70.0
2023-04-13,Y,-4760.0,25.0,14220.0,47.0,71922900.0,876.0,7898.46,-76480.0,93580.0,,9460.0,17100.0,144.0,72.0,-19.0,30.0
2023-04-14,Y,-2260.0,12.0,9680.0,23.0,79086120.0,967.0,7871.67,-78740.0,103260.0,,7420.0,24520.0,91.0,56.0,-19.0,42.0
2023-04-17,Y,-20200.0,54.0,10900.0,27.0,91902460.0,1131.0,7814.84,-98940.0,114160.0,,-9300.0,15220.0,164.0,83.0,-37.0,40.0
2023-04-18,Y,,,45220.0,78.0,101788700.0,1256.0,7908.99,-98940.0,159380.0,,45220.0,60440.0,125.0,47.0,0.0,58.0
2023-04-19,Y,-21560.0,26.0,4500.0,34.0,113521440.0,1403.0,7981.46,-120500.0,163880.0,,-17060.0,43380.0,147.0,87.0,-83.0,13.0
2023-04-20,Y,-42340.0,60.0,7880.0,35.0,127387060.0,1581.0,7789.67,-162840.0,171760.0,,-34460.0,8920.0,178.0,83.0,-71.0,23.0
2023-04-21,Y,-1160.0,9.0,21960.0,53.0,137132020.0,1708.0,7673.2,-164000.0,193720.0,,20800.0,29720.0,127.0,65.0,-13.0,41.0
2023-04-24,Y,-6300.0,23.0,40600.0,72.0,153229280.0,1921.0,7557.4,-170300.0,234320.0,,34300.0,64020.0,213.0,118.0,-27.0,56.0
2023-04-25,Y,-8840.0,26.0,39360.0,74.0,166384420.0,2095.0,7560.43,-179140.0,273680.0,,30520.0,94540.0,174.0,74.0,-34.0,53.0
2023-04-26,Y,-11120.0,57.0,40560.0,88.0,191571000.0,2430.0,7518.38,-190260.0,314240.0,,29440.0,123980.0,335.0,190.0,-20.0,46.0
2023-04-27,Y,-8560.0,41.0,34460.0,59.0,202815260.0,2579.0,7546.48,-198820.0,348700.0,,25900.0,149880.0,149.0,49.0,-21.0,58.0
2023-04-28,Y,-6120.0,19.0,3220.0,19.0,209090560.0,2663.0,7470.6,-204940.0,351920.0,,-2900.0,146980.0,84.0,46.0,-32.0,17.0
2023-05-04,Y,-10220.0,30.0,42360.0,67.0,222939900.0,2848.0,7486.13,-215160.0,394280.0,,32140.0,179120.0,185.0,88.0,-34.0,63.0
2023-05-05,Y,-25320.0,48.0,16180.0,26.0,234951200.0,3007.0,7554.28,-240480.0,410460.0,,-9140.0,169980.0,159.0,85.0,-53.0,62.0
2023-05-08,Y,-17020.0,39.0,12860.0,46.0,250618640.0,3212.0,7642.65,-257500.0,423320.0,,-4160.0,165820.0,205.0,120.0,-44.0,28.0
2023-05-09,Y,,,40520.0,88.0,260713380.0,3345.0,7590.03,-257500.0,463840.0,,40520.0,206340.0,133.0,45.0,0.0,46.0
2023-05-10,Y,-11260.0,24.0,5500.0,25.0,267077540.0,3429.0,7576.38,-268760.0,469340.0,,-5760.0,200580.0,84.0,35.0,-47.0,22.0
2023-05-11,Y,-23920.0,41.0,19220.0,69.0,286777580.0,3694.0,7433.98,-292680.0,488560.0,,-4700.0,195880.0,265.0,155.0,-58.0,28.0
2023-05-12,Y,-3100.0,45.0,58140.0,87.0,307849880.0,3982.0,7316.77,-295780.0,546700.0,,55040.0,250920.0,288.0,156.0,-7.0,67.0
2023-05-15,Y,-11900.0,41.0,115660.0,130.0,328738240.0,4269.0,7278.17,-307680.0,662360.0,,103760.0,354680.0,287.0,116.0,-29.0,89.0
2023-05-16,Y,-37360.0,76.0,20240.0,65.0,349624560.0,4555.0,7302.91,-345040.0,682600.0,,-17120.0,337560.0,286.0,145.0,-49.0,31.0
2023-05-17,Y,-23480.0,56.0,15400.0,74.0,368658940.0,4821.0,7155.78,-368520.0,698000.0,,-8080.0,329480.0,266.0,136.0,-42.0,21.0
2023-05-18,Y,-25260.0,100.0,19760.0,65.0,390586480.0,5128.0,7142.52,-393780.0,717760.0,,-5500.0,323980.0,307.0,142.0,-25.0,30.0
2023-05-19,Y,-12620.0,36.0,11380.0,36.0,406213040.0,5346.0,7168.15,-406400.0,729140.0,,-1240.0,322740.0,218.0,146.0,-35.0,32.0
2023-05-22,Y,-17840.0,58.0,107280.0,78.0,423992560.0,5596.0,7111.81,-424240.0,836420.0,,89440.0,412180.0,250.0,114.0,-31.0,138.0
2023-05-23,Y,-8440.0,23.0,19780.0,80.0,438701760.0,5804.0,7071.73,-432680.0,856200.0,,11340.0,423520.0,208.0,105.0,-37.0,25.0
2023-05-24,Y,-41760.0,116.0,7980.0,22.0,455683740.0,6045.0,7046.46,-474440.0,864180.0,,-33780.0,389740.0,241.0,103.0,-36.0,36.0
2023-05-25,Y,-7660.0,61.0,41640.0,108.0,479588340.0,6386.0,7010.15,-482100.0,905820.0,,33980.0,423720.0,341.0,172.0,-13.0,39.0
2023-05-26,Y,-8320.0,47.0,34160.0,85.0,498455000.0,6650.0,7146.46,-490420.0,939980.0,,25840.0,449560.0,264.0,132.0,-18.0,40.0
2023-05-29,Y,-10840.0,56.0,28900.0,73.0,515857820.0,6893.0,7161.65,-501260.0,968880.0,,18060.0,467620.0,243.0,114.0,-19.0,40.0
2023-05-30,Y,-21820.0,107.0,7600.0,40.0,537794140.0,7204.0,7053.48,-523080.0,976480.0,,-14220.0,453400.0,311.0,164.0,-20.0,19.0
2023-05-31,Y,-76520.0,114.0,12840.0,79.0,565529260.0,7610.0,6831.31,-599600.0,989320.0,,-63680.0,389720.0,406.0,213.0,-67.0,16.0
2023-06-01,Y,-61140.0,67.0,40680.0,82.0,588329960.0,7945.0,6806.18,-660740.0,1030000.0,,-20460.0,369260.0,335.0,186.0,-91.0,50.0
